,Males
918,Cerberus_Langarm
919,Lestrange
920,Harfang_Longbottom
921,Neil_Lament
922,Luciano_Limus
923,Maxwell_Lima
924,Eduardus_Lima
925,Guthrie_Lochrin
926,Karl_Limpley
927,Artemius_Lawson
928,Local_Sitemap
929,Lamont
930,Dai_Llewellyn
931,Jim_Luna
932,Alain_Lacroix
933,Lachlan_the_Lanky
934,Joe_Laurie
935,Barnaby_Lee
936,Matheus_Limusa
937,Russell_Lucky
938,Limunus
939,Remus_Lupin
940,Miro_Limus
941,Wizard_in_the_Leaky_Cauldron
942,Little_Whinging_postman
943,Carlos_Lopez
944,Raymund_Lambus
945,Chris_Lunney
946,Alexei_Levski
947,Rodolphus_Lestrange
948,Frank_Longbottom
949,Livius
950,Little_Hangleton_boys
951,Gabriel_Lithgow
952,Falco_Lestrange
953,Xenophilius_Lovegood
954,Leander_Prewett
955,Aidan_Lynch
956,Bogomil_Levski
957,Leon
958,Maxwell_Lazenby
959,Lars_Lundekvam
960,Laith
961,Neville_Longbottom
962,Limebert
963,Xander_Lofthouse
964,Ministry_of_Magic_lift_attendant
965,Mulciber_I
966,Ethelbard_Mordaunt
967,Manager_at_Eeylops_Owl_Emporium
968,MacDuff
969,Albert_McCausland
970,Sean_Miller
971,Montgomery
972,Armand_Malfoy
973,Newspaper_seller
974,Tom_Monk
975,Walden_Macnair
976,Stuart_McKinley
977,Maxwell
978,Dominic_Maestro
979,Cuthbert_Mockridge
980,Benjamin_McEwen
981,Sterling_McCubbin
982,Magical_Menagerie_salesman
983,Manager_of_Gambol_and_Japes_Wizarding_Joke_Shop
984,Dugald_McPhail
985,Thomas_McGruder
986,Kevinus_Morrisons
987,Mauricius
988,Paul_Mawdesley
989,Mr_Whiskers
990,Neil_La_Mounte
991,Graham_Montague
992,Ernest_Macmillan
993,Cyril_Meakin
994,Man_who_gave_Mr_Roberts_Galleons
995,Music_classroom_monitor
996,Harold_Minchum
997,Kieran_Muirhead
998,Manager_of_Flourish_and_Blotts
999,Raza_Mohammad
1000,Magnus_MacDonald
1001,Eric_Munch
1002,Draco_Malfoy
1003,Mulpepper
1004,Mike_Maloney
1005,David_Makehay
1006,Mr_Tibbles
1007,Zacharias_Mumps
1008,Arnulf_Moe
1009,Unidentified_Muggle_man
1010,Hamish_MacFarlan
1011,Alasdair_Maddock
1012,Abraxas_Malfoy
1013,Nicholas_Malfoy
1014,Trev_Mallory
1015,Merwyn_the_Malicious
1016,Mr_Leucrotta
1017,Minister_for_Magic_Support_Staff_official
1018,Titus_Mitcham
1019,Luc_Millefeuille
1020,McClaggan
1021,Lorcan_McLaird
1022,Angus_Matlock
1023,Magnus
1024,Robert_McGonagall_Junior
1025,Lucius_Malfoy
1026,Mungo_MacDuff
1027,Marauders
1028,Tobias_Misslethorpe
1029,Lars_Moberly
1030,Kenny_Markham
1031,Murphy_McNully
1032,Timothy_Morcott
1033,Regulus_Moonshine
1034,Martin_Miggs
1035,Robert_McGonagall_Senior
1036,Marius
1037,Irfan_Mustaq
1038,Matthew
1039,Unidentified_Hufflepuff_Seeker
1040,Menzies
1041,Malecrit
1042,Lachlan_MacKenzie
1043,Unidentified_Ravenclaw_Seeker
1044,Robin_McTighe
1045,Hugo_Mattingley
1046,Scorpius_Malfoy
1047,Caelan_MacBoon
1048,Theopholos_Malentus
1049,Brutus_Malfoy
1050,Alastor_Moody
1051,Daryl_Morden
1052,Muggle_Artefact_Smuggler
1053,Burdock_Muldoon
1054,Gregory_Munslow
1055,Martin_MacFusty
1056,Mr_Paws
1057,Godfrey_Midhurst
1058,Mentor_Metaxas
1059,Cormac_McLaggen
1060,Muggle_at_Circus
1061,Local_Sitemap
1062,Lucius_Malfoy_I
1063,Jack_Monk
1064,Unidentified_Muggle_driver
1065,William_McGonagall
1066,Cormack_McLeod
1067,Dave_Monk
1068,Marazion
1069,Tiago_Montoya
1070,Millford_Quisling
1071,Mahoutokoro_potions_champion
1072,Shawn_Morris
1073,Dougal_McGregor
1074,Edmund_Major_II
1075,Jacques_Miskine
1076,Mortlake
1077,Dylan_Marwood
1078,Mark
1079,Michael_McManus
1080,Malcolm
1081,Magic_goblin
1082,Morholt
1083,Jim_McGuffin
1084,Mr_Bigglesby
1085,Eric_Murley
1086,Roger_Malone
1087,Unidentified_male_Muggle_Studies_professor
1088,Michael
1089,Septimus_Malfoy
1090,Bernard_Maltby
1091,Tatsuya_Motoyama
1092,Alberto_Macellarius
1093,Beaumont_Marjoribanks
1094,Hassan_Mostafa
1095,Dougal_McBride
1096,Unidentified_Gryffindor_Seeker
1097,Muggle_residents_of_Budleigh_Babberton
1098,Tarquin_McTavish
1099,Harfang_Munter
1100,Malcolm_McGonagall
1101,Magorian
1102,Merlin
1103,Roderick_Murphy
1104,Unidentified_Ministry_of_Magic_wizard_at_the_1994_Quidditch_World_Cup
1105,Torquil_McTavish
1106,Angelus_Moriattis
1107,Mason
1108,Angus_McMangus
1109,Ministry_of_Magic_meeting_assigner
1110,Dennis_Moon
1111,Dugald_McClivert
1112,Eugene_McAllister
1113,Mazoni
1114,Quintius_MacBoon
1115,Quiac_Marinus
1116,Phillip_Montgomery
1117,Paul_Males
1118,Unidentified_Muggle_man_who_accidentally_pushed_Harry_Potter_in_1991
1119,Unidentified_Hufflepuff_Substitute_Seeker
1120,Man_with_knowledge_of_the_Taboo
1121,Byron_Miller
1122,Joe_McGee
1123,Charles_Machin
1124,Kensington_Millbottom
1125,Nobby
1126,Neil_Nuts
1127,Nepali_wizard
1128,Nagnok
1129,Maurice_Netto
1130,Theodore_Nott
1131,Loony_Nonby
1132,David_Nolton
1133,Local_Sitemap
1134,Cantankerus_Nott
1135,Jonny_Nuhaka
1136,Norwegian_Minister_for_Magic_in_1932
1137,Niko_Nenad
1138,Nigel
1139,Nagel
1140,Ned
1141,Isaac_Newton
1142,Takashi_Noda
1143,Phelan_Noel
1144,Garrick_Newbourne
1145,Nott
1146,Unidentified_newspaper_vendor
1147,Lord_North
